#SampleID	Replicate	Age	Diet	Location	Sort	SampleType	Age_Diet	AgeBinary	PCR
2-4E4-fA	R2	Week7	EE	feces	IgAneg	Sorted	Week7EE	Old	Plate3
2-4E4-fAp	R2	Week7	EE	feces	IgApos	Sorted	Week7EE	Old	Plate3
2-4E4-fG	R2	Week7	EE	feces	IgGneg	Sorted	Week7EE	Old	Plate3
2-4E4-fGp	R2	Week7	EE	feces	IgGpos	Sorted	Week7EE	Old	Plate3
2-4E4-fpr	R2	Week7	EE	feces	Pre	Presort	Week7EE	Old	Plate1
2-4E4-jA	R2	Week7	EE	jej	IgAneg	Sorted	Week7EE	Old	Plate4
2-4E4-jAp	R2	Week7	EE	jej	IgApos	Sorted	Week7EE	Old	Plate4
2-4E4-jG	R2	Week7	EE	jej	IgGneg	Sorted	Week7EE	Old	Plate4
2-4E4-jGp	R2	Week7	EE	jej	IgGpos	Sorted	Week7EE	Old	Plate4
2-4E4-jpr	R2	Week7	EE	jej	Pre	Presort	Week7EE	Old	Plate1
2-4M1-fA	R2	Week7	MAL	feces	IgAneg	Sorted	Week7MAL	Old	Plate2
2-4M1-fAp	R2	Week7	MAL	feces	IgApos	Sorted	Week7MAL	Old	Plate2
2-4M1-fG	R2	Week7	MAL	feces	IgGneg	Sorted	Week7MAL	Old	Plate2
2-4M1-fGp	R2	Week7	MAL	feces	IgGpos	Sorted	Week7MAL	Old	Plate2
2-4M1-fpr	R2	Week7	MAL	feces	Pre	Presort	Week7MAL	Old	Plate2
2-4M1-jA	R2	Week7	MAL	jej	IgAneg	Sorted	Week7MAL	Old	Plate3
2-4M1-jAp	R2	Week7	MAL	jej	IgApos	Sorted	Week7MAL	Old	Plate3
2-4M1-jG	R2	Week7	MAL	jej	IgGneg	Sorted	Week7MAL	Old	Plate3
2-4M1-jGp	R2	Week7	MAL	jej	IgGpos	Sorted	Week7MAL	Old	Plate3
2-4M1-jpr	R2	Week7	MAL	jej	Pre	Presort	Week7MAL	Old	Plate3
2-4M2-fA	R2	Week7	MAL	feces	IgAneg	Sorted	Week7MAL	Old	Plate2
2-4M2-fAp	R2	Week7	MAL	feces	IgApos	Sorted	Week7MAL	Old	Plate2
2-4M2-fG	R2	Week7	MAL	feces	IgGneg	Sorted	Week7MAL	Old	Plate2
2-4M2-fGp	R2	Week7	MAL	feces	IgGpos	Sorted	Week7MAL	Old	Plate2
2-4M2-fpr	R2	Week7	MAL	feces	Pre	Presort	Week7MAL	Old	Plate2
2-4M2-jA	R2	Week7	MAL	jej	IgAneg	Sorted	Week7MAL	Old	Plate3
2-4M2-jAp	R2	Week7	MAL	jej	IgApos	Sorted	Week7MAL	Old	Plate3
2-4M2-jG	R2	Week7	MAL	jej	IgGneg	Sorted	Week7MAL	Old	Plate3
2-4M2-jGp	R2	Week7	MAL	jej	IgGpos	Sorted	Week7MAL	Old	Plate3
2-4M2-jpr	R2	Week7	MAL	jej	Pre	Presort	Week7MAL	Old	Plate3
2-4M3-fA	R2	Week7	MAL	feces	IgAneg	Sorted	Week7MAL	Old	Plate2
2-4M3-fAp	R2	Week7	MAL	feces	IgApos	Sorted	Week7MAL	Old	Plate2
2-4M3-fG	R2	Week7	MAL	feces	IgGneg	Sorted	Week7MAL	Old	Plate2
2-4M3-fGp	R2	Week7	MAL	feces	IgGpos	Sorted	Week7MAL	Old	Plate2
2-4M3-fpr	R2	Week7	MAL	feces	Pre	Presort	Week7MAL	Old	Plate2
2-4M3-jA	R2	Week7	MAL	jej	IgAneg	Sorted	Week7MAL	Old	Plate3
2-4M3-jAp	R2	Week7	MAL	jej	IgApos	Sorted	Week7MAL	Old	Plate3
2-4M3-jG	R2	Week7	MAL	jej	IgGneg	Sorted	Week7MAL	Old	Plate3
